Link type,Is nofollow,Source URL,Source HTTP status code,Target URL,Target HTTP status code,Anchor,Hreflang attribute,Target final redirect URL,Target final redirect HTTP status code,Is source canonical,Is source noindex,Is target canonical,Is target noindex,Is link internal
Href link,false,https://www.pravdast.agency/about,200,https://www.pravdast.agency/blog/biznes-inzheneri-vs-marketing-ekip-alternativa,404,Бизнес инженери vs екип,,,,true,false,true,false,true
Href link,false,https://www.pravdast.agency/blog/wp-rkovodstvo-za-nachinaeshhi-v-marketinga-za-malk-biznes,200,https://www.pravdast.agency/blog/kak-da-optimizirate-vashiya-biznes-za-maksimalna-efektivnost,404,Оптимизация на бизнеса,,,,true,false,true,false,true
Href link,false,https://www.pravdast.agency/blog/wp-8-stpki-za-szdavane-na-efektivno-poslanie-na-brand,200,https://www.pravdast.agency/blog/kak-da-optimizirate-vashiya-biznes-za-maksimalna-efektivnost,404,Оптимизация на бизнеса,,,,true,false,true,false,true
Href link,false,https://www.pravdast.agency/blog/wp-7-dokazani-metoda-za-optimizacziya-na-soczialnite-mrezhi,200,https://www.pravdast.agency/blog/biznes-inzheneri-vs-marketing-ekip-alternativa,404,Бизнес инженери vs екип,,,,true,false,true,false,true
Href link,false,https://www.pravdast.agency/blog/wp-35,200,https://www.pravdast.agency/blog/biznes-inzheneri-vs-marketing-ekip-alternativa,404,Бизнес инженери vs екип,,,,true,false,true,false,true
Href link,false,https://www.pravdast.agency/calculators,200,https://www.pravdast.agency/blog/biznes-inzheneri-vs-marketing-ekip-alternativa,404,Бизнес инженери vs екип,,,,true,false,true,false,true
Href link,false,https://www.pravdast.agency/services,200,https://www.pravdast.agency/blog/biznes-inzheneri-vs-marketing-ekip-alternativa,404,Бизнес инженери vs екип,,,,true,false,true,false,true
Href link,false,https://www.pravdast.agency/services,200,https://www.pravdast.agency/blog/kak-da-optimizirate-vashiya-biznes-za-maksimalna-efektivnost,404,Оптимизация на бизнеса,,,,true,false,true,false,true
Href link,false,https://www.pravdast.agency/campaigns/glovo,200,https://www.pravdast.agency/blog/biznes-inzheneri-vs-marketing-ekip-alternativa,404,Бизнес инженери vs екип,,,,true,false,true,false,true
Href link,false,https://www.pravdast.agency/contact,200,https://www.pravdast.agency/blog/kak-da-optimizirate-vashiya-biznes-za-maksimalna-efektivnost,404,Оптимизация на бизнеса,,,,true,false,true,false,true
Href link,false,https://www.pravdast.agency/blog/wp-narchnik-za-razshireno-seo-prez-2025,200,https://www.pravdast.agency/blog/biznes-inzheneri-vs-marketing-ekip-alternativa,404,Бизнес инженери vs екип,,,,true,false,true,false,true
Href link,false,https://www.pravdast.agency/campaigns/glovo,200,https://www.pravdast.agency/blog/kak-da-optimizirate-vashiya-biznes-za-maksimalna-efektivnost,404,Оптимизация на бизнеса,,,,true,false,true,false,true
Href link,false,https://www.pravdast.agency/blog/wp-8-stpki-za-szdavane-na-efektivno-poslanie-na-brand,200,https://www.pravdast.agency/blog/biznes-inzheneri-vs-marketing-ekip-alternativa,404,Бизнес инженери vs екип,,,,true,false,true,false,true
Href link,false,https://www.pravdast.agency/services/clientomat,200,https://www.pravdast.agency/blog/kak-da-optimizirate-vashiya-biznes-za-maksimalna-efektivnost,404,Оптимизация на бизнеса,,,,false,false,true,false,true
