PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Internal outlinks to 4xx,Internal outlinks codes (4xx),No. of internal outlinks to 4xx,External outlinks to 4xx,External outlinks codes (4xx),No. of external outlinks to 4xx
43,https://www.pravdast.agency/,Правдаст - Бизнес системи вместо маркетинг хаос | България,text/html; charset=utf-8,false,200,0,0,"https://www.pravdast.agency/blog/biznes-inzheneri-vs-marketing-ekip-alternativa
https://www.pravdast.agency/blog/kak-da-optimizirate-vashiya-biznes-za-maksimalna-efektivnost","404
404",2,,,0
39,https://www.pravdast.agency/campaigns,Готови решения | Спри да търсиш маркетинг агенции,text/html; charset=utf-8,false,200,0,1,"https://www.pravdast.agency/blog/biznes-inzheneri-vs-marketing-ekip-alternativa
https://www.pravdast.agency/blog/kak-da-optimizirate-vashiya-biznes-za-maksimalna-efektivnost","404
404",2,,,0
39,https://www.pravdast.agency/blog,Бизнес блог | Инженеринг вместо маркетинг митове,text/html; charset=utf-8,false,200,0,1,"https://www.pravdast.agency/blog/biznes-inzheneri-vs-marketing-ekip-alternativa
https://www.pravdast.agency/blog/kak-da-optimizirate-vashiya-biznes-za-maksimalna-efektivnost","404
404",2,,,0
29,https://www.pravdast.agency/blog/wp-zashho-rabotata-s-biznes-inzheneri-e-po-dobrata-alternativa-ot-izgrazhdaneto-i-poddrzhaneto-na-marketing-ekip,Защо работата с бизнес инженери е по-добрата алтернатива ... - Pravda ST,text/html; charset=utf-8,false,200,0,1,"https://www.pravdast.agency/blog/biznes-inzheneri-vs-marketing-ekip-alternativa
https://www.pravdast.agency/blog/kak-da-optimizirate-vashiya-biznes-za-maksimalna-efektivnost","404
404",2,,,0
28,https://www.pravdast.agency/blog/wp-3-te-cherni-dupki-koito-poglshhat-reklamniya-vi-byudzhet,"3-те черни дупки, които поглъщат рекламния ви бюджет. - Pravda ST",text/html; charset=utf-8,false,200,0,1,"https://www.pravdast.agency/blog/biznes-inzheneri-vs-marketing-ekip-alternativa
https://www.pravdast.agency/blog/kak-da-optimizirate-vashiya-biznes-za-maksimalna-efektivnost","404
404",2,,,0
21,https://www.pravdast.agency/blog/wp-7-dokazani-metoda-za-optimizacziya-na-soczialnite-mrezhi,7 доказани метода за оптимизация на социалните мрежи - Pravda ST,text/html; charset=utf-8,false,200,0,1,"https://www.pravdast.agency/blog/biznes-inzheneri-vs-marketing-ekip-alternativa
https://www.pravdast.agency/blog/kak-da-optimizirate-vashiya-biznes-za-maksimalna-efektivnost","404
404",2,,,0
21,https://www.pravdast.agency/blog/wp-8-stpki-za-szdavane-na-efektivno-poslanie-na-brand,8 стъпки за създаване на ефективно послание на бранд - Pravda ST,text/html; charset=utf-8,false,200,0,1,"https://www.pravdast.agency/blog/biznes-inzheneri-vs-marketing-ekip-alternativa
https://www.pravdast.agency/blog/kak-da-optimizirate-vashiya-biznes-za-maksimalna-efektivnost","404
404",2,,,0
21,https://www.pravdast.agency/blog/wp-narchnik-za-razshireno-seo-prez-2025,Наръчник за разширено SEO през 2025 - Pravda ST,text/html; charset=utf-8,false,200,0,1,"https://www.pravdast.agency/blog/biznes-inzheneri-vs-marketing-ekip-alternativa
https://www.pravdast.agency/blog/kak-da-optimizirate-vashiya-biznes-za-maksimalna-efektivnost","404
404",2,,,0
21,https://www.pravdast.agency/blog/wp-8-stpkov-marketingov-odit-za-dohododosna-2025g,8 стъпков маркетингов одит за дохододосна 2025г. - Pravda ST,text/html; charset=utf-8,false,200,0,1,"https://www.pravdast.agency/blog/biznes-inzheneri-vs-marketing-ekip-alternativa
https://www.pravdast.agency/blog/kak-da-optimizirate-vashiya-biznes-za-maksimalna-efektivnost","404
404",2,,,0
21,https://www.pravdast.agency/blog/wp-35,10 начина да изпозлвате промоционално ценообразуване - Pravda ST,text/html; charset=utf-8,false,200,0,1,"https://www.pravdast.agency/blog/biznes-inzheneri-vs-marketing-ekip-alternativa
https://www.pravdast.agency/blog/kak-da-optimizirate-vashiya-biznes-za-maksimalna-efektivnost","404
404",2,,,0
21,https://www.pravdast.agency/blog/wp-10-strategii-za-da-nakarate-klientite-da-se-vrshhat-za-oshhe,"10 стратегии, за да накарате клиентите да се връщат за още. - Pravda ST",text/html; charset=utf-8,false,200,0,1,"https://www.pravdast.agency/blog/biznes-inzheneri-vs-marketing-ekip-alternativa
https://www.pravdast.agency/blog/kak-da-optimizirate-vashiya-biznes-za-maksimalna-efektivnost","404
404",2,,,0
21,https://www.pravdast.agency/blog/wp-rkovodstvo-za-nachinaeshhi-v-marketinga-za-malk-biznes,Ръководство за начинаещи в маркетинга за малък бизнес. - Pravda ST,text/html; charset=utf-8,false,200,0,1,"https://www.pravdast.agency/blog/biznes-inzheneri-vs-marketing-ekip-alternativa
https://www.pravdast.agency/blog/kak-da-optimizirate-vashiya-biznes-za-maksimalna-efektivnost","404
404",2,,,0
21,https://www.pravdast.agency/blog/wp-8-trenda-v-digitalniya-marketing-koito-ne-tryabva-da-ignorirate-prez-2025,"8 Тренда в дигиталния маркетинг, които не трябва да игнор... - Pravda ST",text/html; charset=utf-8,false,200,0,1,"https://www.pravdast.agency/blog/biznes-inzheneri-vs-marketing-ekip-alternativa
https://www.pravdast.agency/blog/kak-da-optimizirate-vashiya-biznes-za-maksimalna-efektivnost","404
404",2,,,0
21,https://www.pravdast.agency/blog/wp-rkovodstvo-za-nachinaeshhi-za-izgrazhdane-na-silen-brand,Ръководство за начинаещи за изграждане на силен brand - Pravda ST,text/html; charset=utf-8,false,200,0,1,"https://www.pravdast.agency/blog/biznes-inzheneri-vs-marketing-ekip-alternativa
https://www.pravdast.agency/blog/kak-da-optimizirate-vashiya-biznes-za-maksimalna-efektivnost","404
404",2,,,0
21,https://www.pravdast.agency/blog/wp-prouchvane-na-klyuchovi-dumi-za-onlajn-trgoviya-rkovodstvo-za-2025g,Проучване на ключови думи за онлайн търговия (ръководство... - Pravda ST,text/html; charset=utf-8,false,200,0,1,"https://www.pravdast.agency/blog/biznes-inzheneri-vs-marketing-ekip-alternativa
https://www.pravdast.agency/blog/kak-da-optimizirate-vashiya-biznes-za-maksimalna-efektivnost","404
404",2,,,0
21,https://www.pravdast.agency/campaigns/glovo,"Glovo Кампания - Pravda ST | 23 ресторанта спестиха 1,800 лв",text/html; charset=utf-8,false,200,0,1,"https://www.pravdast.agency/blog/biznes-inzheneri-vs-marketing-ekip-alternativa
https://www.pravdast.agency/blog/kak-da-optimizirate-vashiya-biznes-za-maksimalna-efektivnost","404
404",2,,,0
