PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Linked images without alt attribute,Linked images codes (without alt),No. of linked images without alt attribute
28,https://www.pravdast.agency/blog/wp-3-te-cherni-dupki-koito-poglshhat-reklamniya-vi-byudzhet,"3-те черни дупки, които поглъщат рекламния ви бюджет. - Pravda ST",text/html; charset=utf-8,false,200,0,"https://admin.pravdagency.eu/wp-content/uploads/2025/08/pravda-clientomat-1024x683.webp
https://admin.pravdagency.eu/wp-content/uploads/2025/08/pravda-trendlab-1-1024x683.webp",,2
21,https://www.pravdast.agency/blog/wp-7-dokazani-metoda-za-optimizacziya-na-soczialnite-mrezhi,7 доказани метода за оптимизация на социалните мрежи - Pravda ST,text/html; charset=utf-8,false,200,0,"https://admin.pravdagency.eu/wp-content/uploads/2025/08/20250812_1046_optimizacziya-1-1024x683.webp
https://admin.pravdagency.eu/wp-content/uploads/2025/08/20250812_1046_optimizacziya-1024x683.webp
https://admin.pravdagency.eu/wp-content/uploads/2025/08/20250812_1046_optimizacziya-3-1024x683.webp",,3
21,https://www.pravdast.agency/blog/wp-8-stpki-za-szdavane-na-efektivno-poslanie-na-brand,8 стъпки за създаване на ефективно послание на бранд - Pravda ST,text/html; charset=utf-8,false,200,0,"https://admin.pravdagency.eu/wp-content/uploads/2025/08/20250812_1056_silata-1-1024x683.webp
https://admin.pravdagency.eu/wp-content/uploads/2025/08/20250812_1056_silata-2-1024x683.webp
https://admin.pravdagency.eu/wp-content/uploads/2025/08/20250812_1056_silata-3-1024x683.webp",,3
21,https://www.pravdast.agency/blog/wp-narchnik-za-razshireno-seo-prez-2025,Наръчник за разширено SEO през 2025 - Pravda ST,text/html; charset=utf-8,false,200,0,"https://admin.pravdagency.eu/wp-content/uploads/2025/08/razshireno-seo-rkovodstvo-1-1024x683.webp
https://admin.pravdagency.eu/wp-content/uploads/2025/08/razshireno-seo-rkovodstvo-2-1024x683.webp",,2
21,https://www.pravdast.agency/blog/wp-8-stpkov-marketingov-odit-za-dohododosna-2025g,8 стъпков маркетингов одит за дохододосна 2025г. - Pravda ST,text/html; charset=utf-8,false,200,0,"https://admin.pravdagency.eu/wp-content/uploads/2025/08/marketingov-odit-1-1024x683.webp
https://admin.pravdagency.eu/wp-content/uploads/2025/08/marketingov-odit-2-1024x683.webp
https://admin.pravdagency.eu/wp-content/uploads/2025/08/marketingov-odit-3-1024x683.webp",,3
21,https://www.pravdast.agency/blog/wp-35,10 начина да изпозлвате промоционално ценообразуване - Pravda ST,text/html; charset=utf-8,false,200,0,"https://admin.pravdagency.eu/wp-content/uploads/2025/08/promoczionalno-czenoobrazuvane-1-1024x683.webp
https://admin.pravdagency.eu/wp-content/uploads/2025/08/promoczionalno-czenoobrazuvane-2-1024x683.webp
https://admin.pravdagency.eu/wp-content/uploads/2025/08/promoczionalno-czenoobrazuvane-3-1024x683.webp",,3
21,https://www.pravdast.agency/blog/wp-10-strategii-za-da-nakarate-klientite-da-se-vrshhat-za-oshhe,"10 стратегии, за да накарате клиентите да се връщат за още. - Pravda ST",text/html; charset=utf-8,false,200,0,"https://admin.pravdagency.eu/wp-content/uploads/2025/08/20250812_1036_strategii-1-1024x683.webp
https://admin.pravdagency.eu/wp-content/uploads/2025/08/20250812_1036_strategii-2-1024x683.webp
https://admin.pravdagency.eu/wp-content/uploads/2025/08/20250812_1036_strategii-3-1024x683.webp",,3
21,https://www.pravdast.agency/blog/wp-rkovodstvo-za-nachinaeshhi-v-marketinga-za-malk-biznes,Ръководство за начинаещи в маркетинга за малък бизнес. - Pravda ST,text/html; charset=utf-8,false,200,0,"https://admin.pravdagency.eu/wp-content/uploads/2025/08/20250812_1056_silata-1024x683.webp
https://admin.pravdagency.eu/wp-content/uploads/2025/08/20250812_1108_marketing-1-1024x683.webp
https://admin.pravdagency.eu/wp-content/uploads/2025/08/20250812_1110_marketing-1024x683.webp",,3
21,https://www.pravdast.agency/blog/wp-8-trenda-v-digitalniya-marketing-koito-ne-tryabva-da-ignorirate-prez-2025,"8 Тренда в дигиталния маркетинг, които не трябва да игнор... - Pravda ST",text/html; charset=utf-8,false,200,0,"https://admin.pravdagency.eu/wp-content/uploads/2025/08/endenczii-v-digitalniya-marketing-1-1024x683.webp
https://admin.pravdagency.eu/wp-content/uploads/2025/08/tendenczii-v-digitalniya-marketing-3-1024x683.webp",,2
21,https://www.pravdast.agency/blog/wp-rkovodstvo-za-nachinaeshhi-za-izgrazhdane-na-silen-brand,Ръководство за начинаещи за изграждане на силен brand - Pravda ST,text/html; charset=utf-8,false,200,0,"https://admin.pravdagency.eu/wp-content/uploads/2025/08/elementi-na-uspeshniya-branding-2-1024x683.webp
https://admin.pravdagency.eu/wp-content/uploads/2025/08/elementi-na-uspeshniya-branding-4-1024x683.webp",,2
21,https://www.pravdast.agency/blog/wp-prouchvane-na-klyuchovi-dumi-za-onlajn-trgoviya-rkovodstvo-za-2025g,Проучване на ключови думи за онлайн търговия (ръководство... - Pravda ST,text/html; charset=utf-8,false,200,0,"https://admin.pravdagency.eu/wp-content/uploads/2025/08/prouchvane-na-klyuchovi-dumi-1-1024x683.webp
https://admin.pravdagency.eu/wp-content/uploads/2025/08/prouchvane-na-klyuchovi-dumi-2-1024x683.webp",,2
