PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Internal outlinks to 4xx,Internal outlinks codes (4xx),Internal outlinks to 5xx,Internal outlinks codes (5xx),No. of internal outlinks to 4xx,No. of internal outlinks to 5xx,External outlinks to 4xx,External outlinks codes (4xx),External outlinks to 5xx,External outlinks codes (5xx),No. of external outlinks to 4xx,No. of external outlinks to 5xx
19,https://www.pravdast.agency/terms,Условия | Как работят системите вместо маркетинг хаос,text/html; charset=utf-8,false,200,0,1,"https://www.pravdast.agency/blog/biznes-inzheneri-vs-marketing-ekip-alternativa
https://www.pravdast.agency/blog/kak-da-optimizirate-vashiya-biznes-za-maksimalna-efektivnost","404
404",,,2,0,,,,,0,0
19,https://www.pravdast.agency/services/clickstarter,Clickstarter™ | Реклами които работят като машина,text/html; charset=utf-8,false,200,0,1,"https://www.pravdast.agency/blog/biznes-inzheneri-vs-marketing-ekip-alternativa
https://www.pravdast.agency/blog/kak-da-optimizirate-vashiya-biznes-za-maksimalna-efektivnost","404
404",,,2,0,,,,,0,0
19,https://www.pravdast.agency/services/clientomat,Clientomat™ | Клиенти идват сами докато спиш,text/html; charset=utf-8,false,200,0,1,"https://www.pravdast.agency/blog/biznes-inzheneri-vs-marketing-ekip-alternativa
https://www.pravdast.agency/blog/kak-da-optimizirate-vashiya-biznes-za-maksimalna-efektivnost","404
404",,,2,0,,,,,0,0
19,https://www.pravdast.agency/services/trendlab,Trendlab™ | Стани авторитет без рекламни бюджети,text/html; charset=utf-8,false,200,0,1,"https://www.pravdast.agency/blog/biznes-inzheneri-vs-marketing-ekip-alternativa
https://www.pravdast.agency/blog/kak-da-optimizirate-vashiya-biznes-za-maksimalna-efektivnost","404
404",,,2,0,,,,,0,0
19,https://www.pravdast.agency/about,"Екип | Не маркетолози, а бизнес инженери",text/html; charset=utf-8,false,200,0,1,"https://www.pravdast.agency/blog/biznes-inzheneri-vs-marketing-ekip-alternativa
https://www.pravdast.agency/blog/kak-da-optimizirate-vashiya-biznes-za-maksimalna-efektivnost","404
404",,,2,0,,,,,0,0
19,https://www.pravdast.agency/case-studies,Резултати | Маркетинг vs Инженеринг - вижте разликата,text/html; charset=utf-8,false,200,0,1,"https://www.pravdast.agency/blog/biznes-inzheneri-vs-marketing-ekip-alternativa
https://www.pravdast.agency/blog/kak-da-optimizirate-vashiya-biznes-za-maksimalna-efektivnost","404
404",,,2,0,,,,,0,0
19,https://www.pravdast.agency/services/seo-struktor,SEO Struktor™ | Забрави маркетинг тактиките - ето система,text/html; charset=utf-8,false,200,0,1,"https://www.pravdast.agency/blog/biznes-inzheneri-vs-marketing-ekip-alternativa
https://www.pravdast.agency/blog/kak-da-optimizirate-vashiya-biznes-za-maksimalna-efektivnost","404
404",,,2,0,,,,,0,0
19,https://www.pravdast.agency/faq,Въпроси | Всичко за системите вместо маркетинг,text/html; charset=utf-8,false,200,0,1,"https://www.pravdast.agency/blog/biznes-inzheneri-vs-marketing-ekip-alternativa
https://www.pravdast.agency/blog/kak-da-optimizirate-vashiya-biznes-za-maksimalna-efektivnost","404
404",,,2,0,,,,,0,0
19,https://www.pravdast.agency/privacy,Поверителност | Защитаваме данните си като инженери,text/html; charset=utf-8,false,200,0,1,"https://www.pravdast.agency/blog/biznes-inzheneri-vs-marketing-ekip-alternativa
https://www.pravdast.agency/blog/kak-da-optimizirate-vashiya-biznes-za-maksimalna-efektivnost","404
404",,,2,0,,,,,0,0
19,https://www.pravdast.agency/contact,Контакти | Готов за система вместо маркетинг игри?,text/html; charset=utf-8,false,200,0,1,"https://www.pravdast.agency/blog/biznes-inzheneri-vs-marketing-ekip-alternativa
https://www.pravdast.agency/blog/kak-da-optimizirate-vashiya-biznes-za-maksimalna-efektivnost","404
404",,,2,0,,,,,0,0
19,https://www.pravdast.agency/services,Бизнес инженерни услуги — Pravda Agency,text/html; charset=utf-8,false,200,0,1,"https://www.pravdast.agency/blog/biznes-inzheneri-vs-marketing-ekip-alternativa
https://www.pravdast.agency/blog/kak-da-optimizirate-vashiya-biznes-za-maksimalna-efektivnost","404
404",,,2,0,,,,,0,0
1,https://www.pravdast.agency/calculators,ROI Калкулатори | Колко струва маркетинг хаосът?,text/html; charset=utf-8,false,200,0,1,"https://www.pravdast.agency/blog/biznes-inzheneri-vs-marketing-ekip-alternativa
https://www.pravdast.agency/blog/kak-da-optimizirate-vashiya-biznes-za-maksimalna-efektivnost","404
404",,,2,0,,,,,0,0
