PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Redirect chain URLs,Redirect chain URLs codes,Is redirect loop,No. of all inlinks,No. of redirect inlinks,First found at
1,https://pravdagency.eu/,,text/plain,false,307,0,https://www.pravdagency.eu/,200,false,1,1,
0,https://pravdagency.eu/case-studies,,text/plain,false,307,0,https://www.pravdagency.eu/case-studies,200,false,0,0,
0,http://www.pravdagency.eu/,,text/plain,false,308,0,https://www.pravdagency.eu/,200,false,0,0,
0,https://pravdagency.eu/services/clickstarter,,text/plain,false,307,0,https://www.pravdagency.eu/services/clickstarter,200,false,0,0,
0,https://pravdagency.eu/robots.txt,,text/plain,false,307,0,https://www.pravdagency.eu/robots.txt,200,false,0,0,
0,https://pravdagency.eu/blog,,text/plain,false,307,0,https://www.pravdagency.eu/blog,200,false,0,0,
0,https://pravdagency.eu/calculators,,text/plain,false,307,0,https://www.pravdagency.eu/calculators,200,false,0,0,
0,https://pravdagency.eu/services/trendlab,,text/plain,false,307,0,https://www.pravdagency.eu/services/trendlab,200,false,0,0,
0,https://pravdagency.eu/sitemap.xml,,text/plain,false,307,0,https://www.pravdagency.eu/sitemap.xml,200,false,0,0,
0,https://pravdagency.eu/faq,,text/plain,false,307,0,https://www.pravdagency.eu/faq,200,false,0,0,
0,https://pravdagency.eu/services/seo-struktor,,text/plain,false,307,0,https://www.pravdagency.eu/services/seo-struktor,200,false,0,0,
0,https://pravdagency.eu/terms,,text/plain,false,307,0,https://www.pravdagency.eu/terms,200,false,0,0,
0,https://pravdagency.eu/services/clientomat,,text/plain,false,307,0,https://www.pravdagency.eu/services/clientomat,200,false,0,0,
0,https://pravdagency.eu/privacy,,text/plain,false,307,0,https://www.pravdagency.eu/privacy,200,false,0,0,
0,http://pravdagency.eu/,,text/plain,false,308,0,"https://pravdagency.eu/
https://www.pravdagency.eu/","307
200",false,0,0,
0,https://pravdagency.eu/services,,text/plain,false,307,0,https://www.pravdagency.eu/services,200,false,0,0,
0,https://pravdagency.eu/contact,,text/plain,false,307,0,https://www.pravdagency.eu/contact,200,false,0,0,
