Дата,Неиндексирани,Индексирани,Импресии
2025-06-19,,,0
2025-06-20,,,0
2025-06-21,23648,1,0
2025-06-22,21668,8,0
2025-06-23,21668,8,0
2025-06-24,21668,8,0
2025-06-25,19472,12,0
2025-06-26,19472,12,3
2025-06-27,19472,12,0
2025-06-28,19472,12,1
2025-06-29,19143,12,1
2025-06-30,19143,12,0
2025-07-01,19143,12,0
2025-07-02,19044,13,0
2025-07-03,19044,13,1
2025-07-04,19044,13,0
2025-07-05,19044,13,0
2025-07-06,18839,13,0
2025-07-07,18839,13,0
2025-07-08,18839,13,2
2025-07-09,15200,13,3
2025-07-10,15200,13,20
2025-07-11,15200,13,0
2025-07-12,15200,13,0
2025-07-13,11948,13,0
2025-07-14,11948,13,1
2025-07-15,11948,13,0
2025-07-16,9642,13,0
2025-07-17,9642,13,1
2025-07-18,9642,13,0
2025-07-19,9642,13,0
2025-07-20,8530,13,0
2025-07-21,8530,13,0
2025-07-22,8530,13,0
2025-07-23,8477,13,1
2025-07-24,8477,13,1
2025-07-25,8477,13,0
2025-07-26,8477,13,0
2025-07-27,8375,13,0
2025-07-28,8375,13,0
2025-07-29,8375,13,0
2025-07-30,7886,13,1
2025-07-31,7886,13,1
2025-08-01,7886,13,0
2025-08-02,7886,13,0
2025-08-03,7674,13,1
2025-08-04,7674,13,0
2025-08-05,7674,13,0
2025-08-06,6895,13,0
2025-08-07,6895,13,1
2025-08-08,6895,13,0
2025-08-09,6895,13,0
